file1,file2,nClonePairs,locations
Table.java,ExpressionFunctionRepeat.java,0,[]
TestStatement.java,TestJoins.java,0,[]
TestOperatoren.java,ExpressionFunctionRound.java,0,[]
Language_it.java,TestDataTypes.java,0,[]
TestLanguage.java,SQLTokenizer.java,0,[]
ExpressionFunctionHour.java,ExpressionFunctionATan2.java,0,[]
ExpressionFunctionExp.java,Language_de.java,0,[]
ExpressionFunctionSqrt.java,Language.java,0,[]
SSPreparedStatement.java,TestDataTypes.java,0,[]
BasicTestCase.java,TestExceptions.java,0,[]
ExpressionFunctionTan.java,ExpressionArithmetic.java,0,[]
ExpressionFunctionTan.java,ExpressionFunctionATan.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionATan.java|(0,1607,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionTan.java|(0,1603,<1,0>,<44,1>)>]"
ExpressionFunctionATan.java,ExpressionFunctionDayOfYear.java,0,[]
ExpressionFunctionCeiling.java,ExpressionFunctionCase.java,0,[]
ExpressionFunctionTan.java,ExpressionFunctionLCase.java,0,[]
ExpressionFunctionRepeat.java,ExpressionFunctionATan.java,0,[]
Utils.java,TestLanguage.java,0,[]
TestScrollable.java,MutableNumeric.java,0,[]
ExpressionFunctionHour.java,TestFunctions.java,0,[]
ExpressionArithmetic.java,ExpressionArithmetic.java,11,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(8109,476,<248,8>,<256,9>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(6533,498,<206,8>,<214,9>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(24150,891,<636,20>,<650,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(23138,909,<619,20>,<633,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(24150,891,<636,20>,<650,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(22147,892,<602,20>,<616,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(24150,891,<636,20>,<650,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(21213,875,<586,20>,<600,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(24150,891,<636,20>,<650,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(20168,858,<566,20>,<580,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(23138,909,<619,20>,<633,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(22147,892,<602,20>,<616,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(23138,909,<619,20>,<633,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(21213,875,<586,20>,<600,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(23138,909,<619,20>,<633,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(20168,858,<566,20>,<580,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(22147,892,<602,20>,<616,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(21213,875,<586,20>,<600,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(22147,892,<602,20>,<616,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(20168,858,<566,20>,<580,21>)>,<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(21213,875,<586,20>,<600,21>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionArithmetic.java|(20168,858,<566,20>,<580,21>)>]"
ExpressionFunctionATan2.java,SSPreparedStatement.java,0,[]
ExpressionFunctionRepeat.java,ExpressionFunctionDegrees.java,0,[]
SSStatement.java,SSResultSet.java,0,[]
IndexDescription.java,Language_it.java,0,[]
TestDataTypes.java,ExpressionFunctionTan.java,0,[]
TestAlterTable2.java,TestTransactions.java,0,[]
ExpressionFunctionATan.java,ExpressionFunctionHour.java,0,[]
ExpressionArithmetic.java,ExpressionFunctionSqrt.java,0,[]
ExpressionFunctionMonth.java,ExpressionFunctionDayOfMonth.java,0,[]
ExpressionFunctionUCase.java,ExpressionFunctionRadians.java,0,[]
ExpressionFunctionASin.java,ExpressionFunctionCeiling.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionASin.java|(0,1607,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionCeiling.java|(0,1616,<1,0>,<44,1>)>]"
ExpressionFunctionATan.java,TestAlterTable.java,0,[]
SSStatement.java,TestExceptions.java,0,[]
ExpressionFunctionExp.java,View.java,0,[]
ExpressionFunctionRound.java,TestJoins.java,0,[]
TestAlterTable.java,Language_it.java,0,[]
IndexScrollStatus.java,TestDataTypes.java,0,[]
ExpressionFunctionMonth.java,IndexDescription.java,0,[]
ExpressionFunctionATan2.java,ExpressionFunctionSqrt.java,0,[]
BasicTestCase.java,IndexDescription.java,0,[]
ExpressionFunctionRadians.java,TestStatement.java,0,[]
Table.java,Language_de.java,0,[]
TestStatement.java,ExpressionFunctionTan.java,0,[]
TestScrollable.java,BasicTestCase.java,0,[]
SSStatement.java,ExpressionFunctionDayOfYear.java,0,[]
ExpressionFunctionTan.java,ExpressionFunctionDegrees.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionDegrees.java|(0,1620,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionTan.java|(0,1603,<1,0>,<44,1>)>]"
Language_de.java,TestGroupBy.java,0,[]
Language_de.java,Language_it.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/language/Language_it.java|(0,11817,<1,0>,<185,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/language/Language_de.java|(0,13393,<1,0>,<184,1>)>]"
ExpressionFunctionExp.java,ExpressionFunctionRepeat.java,0,[]
BasicTestCase.java,ExpressionFunctionDayOfMonth.java,0,[]
Index.java,ExpressionArithmetic.java,0,[]
Utils.java,TestDataTypes.java,0,[]
ExpressionFunctionDayOfMonth.java,ExpressionFunctionUCase.java,0,[]
ExpressionFunctionPower.java,ExpressionFunctionRadians.java,0,[]
BenchTest.java,SSPreparedStatement.java,0,[]
ExpressionArithmetic.java,ExpressionFunctionPower.java,0,[]
SSResultSet.java,SSStatement.java,0,[]
Index.java,ExpressionFunctionLCase.java,0,[]
ExpressionFunctionSqrt.java,SSCallableStatement.java,0,[]
ExpressionFunctionASin.java,ExpressionFunctionCos.java,1,"[<|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionCos.java|(0,1603,<1,0>,<44,1>),|file:///C:/Users/vince/workspace/small_project/src/smallsql/database/ExpressionFunctionASin.java|(0,1607,<1,0>,<44,1>)>]"
BasicTestCase.java,TestAlterTable.java,0,[]
Language_de.java,TestTransactions.java,0,[]
SSPreparedStatement.java,TestLanguage.java,0,[]
SSResultSet.java,ExpressionFunctionCeiling.java,0,[]
ExpressionFunctionDegrees.java,Utils.java,0,[]
TestFunctions.java,SQLTokenizer.java,0,[]
ExpressionFunctionDayOfYear.java,ExpressionFunctionRound.java,0,[]
TestMoneyRounding.java,ExpressionFunctionPower.java,0,[]
Language_it.java,TestLanguage.java,0,[]
ExpressionFunctionYear.java,TestExceptionMethods.java,0,[]
BasicTestCase.java,ExpressionFunctionHour.java,0,[]
ExpressionFunctionSqrt.java,IndexDescription.java,0,[]
TestJoins.java,ExpressionFunctionACos.java,0,[]
