file1,file2,cloneAmount
TestDBMetaData.java,JoinScroll.java,0
Language_it.java,DataSource.java,0
ExpressionName.java,TestResultSet.java,0
MutableLong.java,TableView.java,0
CommandSelect.java,ExpressionFunctionSubstring.java,0
ExpressionFunctionIIF.java,RowSource.java,0
CommandCreateDatabase.java,TableView.java,0
ViewResult.java,SSSavepoint.java,0
TestMoneyRounding.java,MutableDouble.java,0
TestResultSet.java,ColumnExpression.java,0
MutableDouble.java,ExpressionFunctionReplace.java,0
SSDatabaseMetaData.java,ExpressionFunctionMod.java,0
TestThreads.java,ExpressionFunctionDayOfMonth.java,0
ExpressionFunctionLocate.java,AllTests.java,0
Column.java,Lobs.java,0
SSPreparedStatement.java,DataSource.java,0
MutableNumeric.java,ExpressionFunctionMonth.java,0
ExpressionFunctionConvert.java,CommandCreateView.java,0
ExpressionFunctionBitLen.java,Strings.java,0
Index.java,Join.java,0
CommandInsert.java,ExpressionFunctionDifference.java,0
SSPreparedStatement.java,ExpressionFunctionLog10.java,0
TestOther.java,TestOrderBy.java,0
FileIndexNode.java,ExpressionFunctionMinute.java,0
SSCallableStatement.java,NoFromResult.java,0
MutableDouble.java,Expression.java,0
ExpressionFunctionLCase.java,Scrollable.java,0
ExpressionFunctionReturnP1StringAndBinary.java,StorePageMap.java,0
StoreImpl.java,Language_it.java,0
ExpressionFunctionRadians.java,ExpressionFunction.java,0
TableStorePage.java,TableView.java,0
ExpressionFunctionLCase.java,SQLToken.java,0
Mutable.java,Utils.java,0
GroupResult.java,LongList.java,0
LongLongList.java,ExpressionFunctionDayOfYear.java,0
SSPreparedStatement.java,ExpressionFunctionLTrim.java,0
ExpressionFunctionLocate.java,Expressions.java,0
ExpressionFunctionRand.java,TestDBMetaData.java,0
ExpressionFunctionDifference.java,SQLParser.java,0
ExpressionFunctionReturnInt.java,ExpressionFunctionASin.java,0
ExpressionFunctionAscii.java,Language_it.java,0
TestLanguage.java,Table.java,0
StoreNoCurrentRow.java,TestResultSet.java,0
StorePage.java,TransactionStep.java,0
Command.java,CommandCreateDatabase.java,0
IndexDescription.java,ExpressionName.java,0
LongList.java,ExpressionInSelect.java,0
TransactionStep.java,ExpressionFunctionDegrees.java,0
TestFunctions.java,ExpressionFunctionPI.java,0
JoinScroll.java,ExpressionFunctionSign.java,0
ExpressionFunctionReplace.java,SortedResult.java,0
StorePage.java,StorePageLink.java,0
Expressions.java,ExpressionFunctionExp.java,0
CommandTable.java,TableViewResult.java,0
ExpressionFunctionCot.java,Strings.java,0
Utils.java,ExpressionFunctionLog.java,0
TestThreads.java,Expression.java,0
SSConnection.java,TestOrderBy.java,0
ExpressionFunctionHour.java,TestIdentifer.java,0
StoreImpl.java,ExpressionFunctionCharLen.java,0
ExpressionFunctionCos.java,ExpressionFunctionSign.java,0
TestExceptionMethods.java,ExpressionFunctionCase.java,0
StorePageLink.java,ExpressionFunctionATan2.java,0
CreateFile.java,Strings.java,0
ExpressionFunctionTan.java,TestMoneyRounding.java,0
MutableDouble.java,ExpressionFunctionDayOfMonth.java,0
Strings.java,ExpressionFunctionSpace.java,0
ExpressionFunctionAscii.java,ExpressionFunctionCharLen.java,0
ExpressionFunctionTimestampAdd.java,ExpressionFunctionATan.java,0
TestGroupBy.java,View.java,0
ExpressionFunctionAbs.java,StorePage.java,0
SortedResult.java,ExpressionInSelect.java,0
Join.java,CommandSelect.java,0
ExpressionFunctionHour.java,ExpressionFunctionRadians.java,0
Identity.java,Money.java,0
MutableNumeric.java,TableStorePage.java,0
Database.java,Column.java,0
CommandSelect.java,TestGroupBy.java,0
ExpressionFunctionReturnP1Number.java,ExpressionFunctionMod.java,0
ExpressionFunctionDayOfMonth.java,ExpressionFunctionMinute.java,1
ExpressionFunctionReturnP1.java,ExpressionFunctionCot.java,0
TestThreads.java,ExpressionFunctionReplace.java,0
Language_it.java,ExpressionFunctionTruncate.java,0
ExpressionFunctionLTrim.java,FileIndexNode.java,0
BenchTest.java,TestOther.java,0
ExpressionFunctionACos.java,StoreNoCurrentRow.java,0
Language_en.java,StorePageLink.java,0
Distinct.java,LongList.java,0
IndexNodeScrollStatus.java,ExpressionFunctionReturnP1Number.java,0
Scrollable.java,SSCallableStatement.java,0
CommandDrop.java,ExpressionInSelect.java,0
SQLToken.java,MutableLong.java,0
MutableFloat.java,StoreImpl.java,0
ColumnExpression.java,LongTreeListEnum.java,0
TestIdentifer.java,BasicTestCase.java,0
MutableLong.java,SSSavepoint.java,0
CommandCreateView.java,ExpressionFunctionCeiling.java,0
CommandUpdate.java,ExpressionFunctionRadians.java,0
JoinScrollIndex.java,TableResult.java,0
ExpressionFunctionSpace.java,StoreNoCurrentRow.java,0
CommandUpdate.java,TestIdentifer.java,0
ExpressionFunctionTimestampAdd.java,ExpressionFunctionSoundex.java,0
ExpressionFunctionRight.java,SSResultSetMetaData.java,0
ExpressionFunctionReturnString.java,ExpressionFunctionLog.java,0
Strings.java,ExpressionFunction.java,0
DateTime.java,LongLongList.java,0
TestAlterTable.java,ExpressionFunctionMod.java,0
